                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.0153,                  1.417,                 1.6349,                  1.407,                0.26604,                0.50993,                0.44784,                0.23082,                0.86054,                0.25551,                0.39971,                0.26878,                 1.4544,                 2.3238,                 2.3792,                 1.7072,              0.0010472,              0.0010472,              0.0010472
                     60,                 1.0766,                  1.575,                 1.7046,                 1.4446,                0.26604,                0.50993,                0.44784,                0.23082,                0.86054,                0.25551,                0.39971,                0.26878,                 1.4544,                 2.3238,                 2.3792,                 1.7072,              0.0010461,              0.0010461,              0.0010461
                     61,                0.96878,                 1.2912,                 1.5595,                 1.3432,                0.85689,                0.33272,                0.46531,                0.27852,                0.85689,                0.33272,                0.43651,                0.30867,                 1.2874,                 1.8819,                 2.2777,                 1.6123,               0.001045,               0.001045,               0.001045
                     62,                 1.0668,                 1.5487,                  1.807,                 1.4661,                0.85689,                0.33272,                0.46531,                0.27852,                0.85689,                0.33272,                0.43651,                0.30867,                 1.2874,                 1.8819,                 2.2777,                 1.6123,              0.0010439,              0.0010439,              0.0010439
                     63,                0.95925,                 1.3816,                 1.5197,                 1.2801,                0.33815,                 0.6553,                0.55549,                0.34075,                0.33815,                 0.6553,                0.55463,                 0.3776,                 1.1594,                 1.8549,                 2.1525,                 1.5255,              0.0010428,              0.0010428,              0.0010428
                     64,                0.98416,                 1.3059,                 1.5867,                 1.3374,                0.33815,                 0.6553,                0.55549,                0.34075,                0.33815,                 0.6553,                0.55463,                 0.3776,                 1.1594,                 1.8549,                 2.1525,                 1.5255,              0.0010417,              0.0010417,              0.0010417
                     65,                 1.0577,                 1.1545,                 1.6417,                 1.4397,                0.39844,                0.68051,                0.53928,                0.33379,                0.39844,                0.68051,                0.53637,                0.39413,                 1.1628,                 1.7626,                 2.1696,                 1.5635,              0.0010406,              0.0010406,              0.0010406
                     66,                 1.0477,                 1.5515,                 1.6518,                 1.4475,                0.39844,                0.68051,                0.53928,                0.33379,                0.39844,                0.68051,                0.53637,                0.39413,                 1.1628,                 1.7626,                 2.1696,                 1.5635,              0.0010395,              0.0010395,              0.0010395
                     67,                 1.0421,                 1.8862,                 1.6695,                 1.4079,                0.39844,                0.68051,                0.53928,                0.33379,                0.39844,                0.68051,                0.53637,                0.39413,                 1.1628,                 1.7626,                 2.1696,                 1.5635,              0.0010384,              0.0010384,              0.0010384
                     68,                0.98928,                 1.4714,                 1.5906,                  1.377,                 0.3206,                 0.6511,                0.50917,                0.33138,                 0.3508,                0.69522,                0.51572,                0.37475,                 1.1031,                 1.8709,                 2.2372,                 1.5305,              0.0010373,              0.0010373,              0.0010373
                     69,                0.93794,                 1.3996,                 1.4679,                 1.3489,                 0.3206,                 0.6511,                0.50917,                0.33138,                 0.3508,                0.69522,                0.51572,                0.37475,                 1.1031,                 1.8709,                 2.2372,                 1.5305,              0.0010362,              0.0010362,              0.0010362
                     70,                0.99895,                 1.5258,                 1.5493,                 1.3692,                0.33844,                0.62732,                0.49359,                0.29928,                0.33844,                0.62732,                0.50778,                0.38465,                 1.0479,                 1.7658,                 2.0557,                 1.4815,              0.0010351,              0.0010351,              0.0010351
                     71,                0.99585,                 1.3867,                 1.5989,                 1.3712,                0.33844,                0.62732,                0.49359,                0.29928,                0.33844,                0.62732,                0.50778,                0.38465,                 1.0479,                 1.7658,                 2.0557,                 1.4815,               0.001034,               0.001034,               0.001034
                     72,                0.90021,                 1.3659,                 1.5051,                 1.3185,                0.52176,                 0.5886,                0.62109,                0.35907,                0.52804,                0.59488,                0.63989,                0.48074,                 1.1163,                 1.7342,                 1.8589,                 1.5475,              0.0010329,              0.0010329,              0.0010329
